B_28,0
B_26,0
M_32,1
M_57,1
B_5,0
B_89,0
M_78,1
M_86,1
B_3,0
B_55,0
M_46,1
B_30,0
M_53,1
B_84,0
B_52,0
M_111,1
B_32,0
M_33,1
M_58,1
M_10,1
M_99,1
M_43,1
B_20,0
M_54,1
B_4,0
B_93,0
M_56,1
B_39,0
B_58,0
B_62,0
M_41,1
M_67,1
M_19,1
B_16,0
M_50,1
M_81,1
B_8,0
M_88,1
M_6,1
B_59,0
M_55,1
M_72,1
B_66,0
M_14,1
B_82,0
M_7,1
M_3,1
B_96,0
M_45,1
B_36,0
M_34,1
M_70,1
B_9,0
M_82,1
B_46,0
M_48,1
B_41,0
M_105,1
M_84,1
M_94,1
B_75,0
M_31,1
M_13,1
B_81,0
M_79,1
M_71,1
M_12,1
M_65,1
M_76,1
B_92,0
B_71,0
M_100,1
M_74,1
B_33,0
B_44,0
B_49,0
B_21,0
B_79,0
B_11,0
B_67,0
M_29,1
M_64,1
M_27,1
M_47,1
B_18,0
B_98,0
M_66,1
M_113,1
B_74,0
M_1,1
B_60,0
M_59,1
M_22,1
M_51,1
M_69,1
B_43,0
M_49,1
B_48,0
B_65,0
B_86,0
M_102,1
M_110,1
M_18,1
M_5,1
B_90,0
M_87,1
M_106,1
B_25,0
B_72,0
M_93,1
B_64,0
B_42,0
M_42,1
M_92,1
B_99,0
M_112,1
B_17,0
M_91,1
M_108,1
M_9,1
B_76,0
B_85,0
B_70,0
B_15,0
B_68,0
M_24,1
M_62,1
B_63,0
B_94,0
B_14,0
B_22,0
B_24,0
M_103,1
B_73,0
M_4,1
B_97,0
B_2,0
M_17,1
B_56,0
M_52,1
M_83,1
M_97,1
B_54,0
M_60,1
B_78,0
M_104,1
B_88,0
M_26,1
B_10,0
B_69,0
B_29,0
B_45,0
B_95,0
B_77,0
B_13,0
B_19,0
B_51,0
M_80,1
B_53,0
M_15,1
M_16,1
M_28,1
M_63,1
M_73,1
B_6,0
M_39,1
B_40,0
B_61,0
B_27,0
B_35,0
B_47,0
B_87,0
B_23,0
M_89,1
M_38,1
M_98,1
M_77,1
M_11,1
M_85,1
B_80,0
M_35,1
M_96,1
M_40,1
M_37,1
B_12,0
B_91,0
B_7,0
M_44,1
M_68,1
B_57,0
M_20,1
B_50,0
B_34,0
M_23,1
M_90,1
B_1,0
M_21,1
B_31,0
B_37,0
M_75,1
M_2,1
B_83,0
M_101,1
B_38,0
M_107,1
M_36,1
M_25,1
M_95,1
M_109,1
M_61,1
M_8,1
M_30,1
